epoch,train_loss,val_loss,val_macro_f1,val_micro_f1,val_auc_pr
1,0.8261889833122936,0.5585904528224279,0.36257589754325975,0.3823105271591091,0.45881436396225384
2,0.5819792197044216,0.4951002597808838,0.39540972349190634,0.40478924061013616,0.5043747166238571
3,0.5260374007829979,0.4526843293791726,0.42943161396355317,0.45808383233532934,0.5552756004375033
4,0.47937750379874633,0.42980547343927716,0.4362105553428016,0.4574780058651026,0.5916618005883902
5,0.4434846042752711,0.3968674088754351,0.46088822079989383,0.4898681880779068,0.6019400618519624
6,0.41683831438422203,0.4059626817230194,0.46892528294950414,0.48939964335248665,0.629407444263854
7,0.39804367402763063,0.4065765698277761,0.47841430832581516,0.4982078853046595,0.6256712414859971
8,0.38072612894170765,0.3886106130149629,0.48139575377335375,0.5042769857433809,0.6470718079725115
9,0.35430343943967746,0.3922476018705065,0.5041005078692488,0.5299291997425445,0.6380262657533823
10,0.3449716003083471,0.3800226750354918,0.5061866544926205,0.5375081539465101,0.6625829079780384
11,0.32432736674629487,0.3980722093865985,0.5180984938039045,0.5476402493321461,0.6517378223381044
12,0.31448723291005215,0.40415515029241167,0.5145459317117772,0.5494652406417112,0.6534765992642633
13,0.2992946978366531,0.3874584469530318,0.5301238095404998,0.5701569454204731,0.6678571155055119
14,0.2894306943487765,0.4071636715578654,0.5350715466784769,0.5775451950523312,0.6679836524392614
15,0.275753345284889,0.4119523697429233,0.5273584883561876,0.5598904859685148,0.6597949098376708
