epoch,train_loss,val_loss,val_macro_f1,val_micro_f1,val_auc_pr
1,0.7649257562832156,0.5125050587313515,0.3801796944713886,0.39537497992612813,0.5317517589885632
2,0.5412926850979453,0.4480609330866072,0.42048204358968755,0.4403734366742998,0.5840641377504546
3,0.47162632949983896,0.4252910621109463,0.4421864247935522,0.46531683539557556,0.6196166266189445
4,0.43142769038121204,0.4075180918924392,0.46353405055941876,0.49627991152222,0.6338825861050288
5,0.4027546624750344,0.394943007637584,0.49181602542448066,0.5187199330683957,0.6529861239099262
6,0.37993597578424126,0.38364342067922863,0.5010667929265504,0.5304125903870693,0.6622846824095993
7,0.3609322689390227,0.37718741359218716,0.5057541674714863,0.5360427807486631,0.6689384151196411
8,0.33714288163151757,0.39165188490398345,0.5078005065956884,0.5426254657023888,0.6721307795822661
9,0.32318601301356925,0.4059780493142113,0.5411908817548303,0.5775656324582339,0.6877578526401106
10,0.31119574803803396,0.40257439064601114,0.5406653253622113,0.5763430725730443,0.6880951290194615
11,0.29226026583963366,0.39919665538602406,0.526999021621577,0.5639389104171415,0.6779974301221678
12,0.2664674178544265,0.4082611127505227,0.5548727504768058,0.5929502655721873,0.6900472970459625
13,0.25152225599193306,0.42350943847781136,0.5511768210602307,0.5913847651496714,0.6825301152960879
14,0.23856158111133238,0.4429584483778666,0.560828159233736,0.5965601965601965,0.6889406520606149
15,0.23042330856143095,0.440721180112589,0.5681822400247554,0.6097438473129081,0.6909242733391394
