epoch,train_loss,val_loss,val_macro_f1,val_micro_f1,val_auc_pr
1,0.8381410863862109,0.5799570480982462,0.3465985147987485,0.35569376573374795,0.4474293043863184
2,0.5782277710847,0.4916123795130896,0.40149525145743226,0.4137353433835846,0.5292616518606119
3,0.511084235537408,0.4464125219318602,0.4328428237985819,0.4489573889392566,0.5741546599950098
4,0.4614709711897729,0.4206515396871264,0.4492901380104164,0.4659026864550066,0.6060859105834129
5,0.4293509524371197,0.4155741080878273,0.47099995035563674,0.49579158316633265,0.6183410636022186
6,0.3988383652558967,0.39376130227058653,0.4858522187893143,0.5172558922558923,0.6278038852497656
7,0.3791734262911686,0.40153663475362084,0.4804722143246258,0.5073271413828689,0.6219261794112261
8,0.35812351666390896,0.3950453618216136,0.4976969843435755,0.5264949989359439,0.644581611380978
9,0.3394467176230096,0.39659185542000663,0.5032096006291322,0.5379069259340179,0.6437547850536227
10,0.3224638800567655,0.3984976020597276,0.5057638111758107,0.5373525557011796,0.6583926884194428
11,0.3100653898054317,0.3927700389472265,0.5207813770073693,0.555752998667259,0.6664889176917359
12,0.29493617941972927,0.40083057894593194,0.5350353430417223,0.5774315391879131,0.6707534001799144
13,0.2831545256689858,0.3974272142800074,0.5238502993464822,0.5581288695253382,0.6658697373818647
14,0.27399574838745505,0.4227543683752181,0.5528440856689261,0.5920826161790017,0.6711773854967472
15,0.26191434134909913,0.4203158172350081,0.5432238162394072,0.581103480937722,0.6759258066752446
