epoch,train_loss,val_loss,val_macro_f1,val_accuracy
1,1.7162929844856263,1.5144371032714843,0.3997989861143103,0.42
2,1.580777907371521,1.6062173461914062,0.37825188296862483,0.40125
3,1.5391052234172822,1.464624557495117,0.4189189215646081,0.44375
4,1.514894181340933,1.4999154281616212,0.44252557714573504,0.4525
5,1.4746987599134445,1.5026824188232422,0.41104083298794925,0.4325
6,1.4630747207999228,1.5315374755859374,0.4376851563867228,0.43875
7,1.433881375491619,1.4726776123046874,0.46652946165458087,0.46625
8,1.4145576816797256,1.5102727270126344,0.4469229379152114,0.4525
9,1.3879968920350074,1.4794676446914672,0.45863357269428523,0.47625
10,1.3732693012803794,1.459341049194336,0.45761047150150014,0.4725
11,1.3376942969858647,1.4526336765289307,0.45841202077627097,0.45875
12,1.33439720377326,1.4552633190155029,0.464385487078788,0.4775
