epoch,train_loss,val_loss,val_macro_f1,val_micro_f1,val_auc_pr
1,1.16101078055243,1.08415463897917,0.13034087681152484,0.1663677130044843,0.10480820501557489
2,1.1065002440739033,1.0611143064877344,0.1400741539505689,0.17149098853085745,0.12451958556860428
3,1.0924251533266325,1.058692495028178,0.14462381210081116,0.17684351017684352,0.12353989333259527
4,1.0764857510577386,1.0512423931606232,0.14977126910392347,0.17102348249889235,0.12665032714741428
5,1.066708789276543,1.054569421306489,0.1450695935251698,0.17076180859418827,0.12434311244564239
6,1.061003507406854,1.0599441055267576,0.15086378095653935,0.16825710211692443,0.12347140601354782
7,1.0513074863980065,1.0635758912752544,0.15230191045139022,0.16798172757475083,0.12101218292837229
8,1.0474247168471564,1.0694635169846671,0.15039358048920812,0.1793054571226081,0.12335484372143325
9,1.0396352470365924,1.0621890700052654,0.1482735682449584,0.1678690026336883,0.12169987351481831
10,1.0145765643066436,1.0571864455465287,0.1531611290599576,0.1755542922114838,0.12635173682785195
11,1.007971433783645,1.0612429995385428,0.15388469154044165,0.17057126370455858,0.12468168290713527
12,1.0025120545456658,1.0728945703733535,0.1559060061100973,0.1813836778587645,0.12259298320863474
13,0.9925960257871828,1.073967575080811,0.15866091206421878,0.18139642774298306,0.12172407095860915
14,0.9918395851307841,1.0719194355465116,0.15639079254622418,0.17482517482517482,0.1223571424784642
15,0.9830138129529669,1.0809995882094852,0.1601369733032065,0.18243559718969554,0.1254112665666717
