epoch,train_loss,val_loss,val_macro_f1,val_accuracy
1,1.6923724745959043,1.5288609087467193,0.42168786369327127,0.455
2,1.5146146214008331,1.5612504962086677,0.41382362619346463,0.4525
3,1.4307672103494407,1.389017318189144,0.4895390172096582,0.5325
4,1.3888685038313269,1.536955273449421,0.47300454330791775,0.5025
5,1.354121907800436,1.4495600697398185,0.4798444355684288,0.5125
6,1.3055989584699272,1.2965700379014016,0.5523035965935879,0.56125
7,1.2890329751372338,1.485423748679459,0.4948650258998639,0.5275
8,1.2601853659003972,1.4004619058966636,0.5129458703372185,0.52375
9,1.2461351850256324,1.253685636818409,0.5552213407457118,0.56625
10,1.2353929130733012,1.358415116071701,0.5296826857271208,0.545
11,1.2035349773615598,1.297168886177242,0.5688931720948078,0.585
12,1.195809073112905,1.2532671485841274,0.5844115659061695,0.60125
13,1.1677030950784684,1.4345836357213557,0.47225172928848064,0.49625
14,1.160991130247712,1.2322052609175445,0.580599102403927,0.595
15,1.1389558864012361,1.1972450378723443,0.576312577126118,0.575
16,1.1200802706182003,1.4175627997517586,0.5237106580859023,0.55
17,1.0868506526947022,1.1841015557199717,0.6010438674604941,0.61375
18,1.1026251938194036,1.36824700105004,0.5377174413063619,0.5375
19,1.0843079264461994,1.2793989777192474,0.5810903509956551,0.5975
20,1.0648774314299225,1.6179136308748274,0.4637819462191669,0.48375
