model,test_loss,macro_f1,micro_f1,macro_auc_pr,micro_auc_pr,macro_roc_auc,micro_roc_auc
cnn,0.19786724117067125,0.09948681128601593,0.2011104256631709,0.11227293983259841,0.13717317058585002,0.6713226545041411,0.7110281383237407
bert,0.40664733366833794,0.6753820829624385,0.7154742096505824,0.7259848609492475,0.7849245740831249,0.9717018344848017,0.9773806027583537
gnn,1.0766538820332952,0.15606958487041891,0.1805068616648302,0.1246705583852794,0.11751131077287945,0.6891956958364553,0.7167045416987341
concat,0.4212418580427766,0.6553980589292436,0.7029940119760479,0.6952967420199886,0.7608144865272731,0.9668741361739154,0.9724769350261812
fusion,0.4135796640896135,0.6555905765628802,0.7042086544161233,0.6822140110949164,0.7539133607377458,0.9643190399156347,0.971957264876554
