epoch,train_loss,val_loss,val_macro_f1,val_micro_f1,val_auc_pr
1,0.7973760275809623,0.5809510605675834,0.34949217633669477,0.3584454409566517,0.45620533706732525
2,0.6107726933907217,0.5256123310989804,0.37543344377218574,0.3906595140422846,0.5063179933113183
3,0.5418018147960972,0.5080541679783473,0.3970600638262411,0.414544235924933,0.5316830578274632
4,0.49799333446061433,0.49825131774894776,0.4128774637158472,0.4321554770318021,0.5427508157090957
5,0.470176776370673,0.4940437099763325,0.4432790913217112,0.46319018404907975,0.5685476570909898
6,0.43819067802335787,0.4873866292219313,0.4488718676533563,0.47791798107255523,0.5836876709200334
7,0.4129931020425327,0.5003620565883697,0.4530374897207745,0.4783039429363979,0.5809538861272816
8,0.397854226683058,0.5196001040084022,0.4544753677582146,0.4809820889514993,0.5817338646842694
9,0.3730282902495185,0.5146651561298068,0.45801671691011697,0.4855933910940963,0.5877861912466913
10,0.3548057343143581,0.5243785572903497,0.4680549710164373,0.49979035639413,0.59035881874307
11,0.3400666231372908,0.5270455004203887,0.4678487630767365,0.4959635686193335,0.5889975685049162
12,0.32733623059327477,0.5384173057382069,0.4798945870865884,0.5094862502664677,0.5962625859553143
13,0.3165529047264092,0.5660613252530022,0.4777289624731762,0.5131321901454309,0.60547938143101
14,0.296998006972804,0.6088270000995152,0.4901140296665068,0.5253077975376197,0.6022444002568063
15,0.2892214983785108,0.6289102118166666,0.5025219436781501,0.5382462686567164,0.6032905739461508
