task,dataset,model,macro_f1,micro_f1,macro_auc_pr,micro_auc_pr,accuracy
Task 1: leakage-controlled caption tagging,MusicCaps,bert,0.5772978484397692,0.629232039636664,0.6033191261334101,0.6850603806158896,
Task 2: genre classification,FMA-small,cnn,0.5446074600919547,,,,0.54125
Task 2: genre classification,FMA-small,gnn,0.3636340191226942,,,,0.3525
Task 3: GNN-BERT fusion,FMA-medium,bert,0.17898885280427354,0.10947930574098798,0.21107314962961488,0.10434444208269435,
Task 3: GNN-BERT fusion,FMA-medium,gnn,0.03066673389514153,0.027356804227869746,0.024215134137083583,0.012774955882562989,
Task 3: GNN-BERT fusion,FMA-medium,concat,0.1779935873896198,0.12254901960784313,0.22546038555621944,0.08527452669710253,
Task 3: GNN-BERT fusion,FMA-medium,fusion,0.18828991193597694,0.18181818181818182,0.2630195574752352,0.12774626552867557,
